"COM";"REG";"DEP";"LIBCOM";"code_iris";"LIBIRIS";"num";"P14_POP";"longitude";"latitude"
"01099";84;"01";"Chazey-sur-Ain";"010990000";"Chazey-sur-Ain (commune non iris<e9>e)";79;1530;5.26024835;45.8934006503587
"01100";84;"01";"Cheignieu-la-Balme";"011000000";"Cheignieu-la-Balme (commune non iris<e9>e)";8;139;5.6023771;45.823400550369
"01101";84;"01";"Chevillard";"011010000";"Chevillard (commune non iris<e9>e)";2;157;5.5812842;46.1086263003253
"01102";84;"01";"Chevroux";"011020000";"Chevroux (commune non iris<e9>e)";28;957;4.9598284;46.3822002502792
"01103";84;"01";"Chevry";"011030000";"Chevry (commune non iris<e9>e)";186;1459;6.04731795;46.2840449002962
"01104";84;"01";"Ch<e9>zery-Forens";"011040000";"Ch<e9>zery-Forens (commune non iris<e9>e)";36;461;5.8694802;46.2243476503062
"01105";84;"01";"Civrieux";"011050000";"Civrieux (commune non iris<e9>e)";2318;1489;4.88957135;45.9208318003546
"01106";84;"01";"Cize";"011060000";"Cize (commune non iris<e9>e)";3;173;5.45012705;46.2015307003101
"01108";84;"01";"Coligny";"011080000";"Coligny (commune non iris<e9>e)";30;1198;5.3350002;46.388834900278
"01109";84;"01";"Collonges";"011090000";"Collonges (commune non iris<e9>e)";138;2163;5.90071155;46.1396831003203
"01110";84;"01";"Colomieu";"011100000";"Colomieu (commune non iris<e9>e)";13;130;5.6269558;45.7341039003817
"01111";84;"01";"Conand";"011110000";"Conand (commune non iris<e9>e)";1;118;5.47868495;45.8834309503602
"01112";84;"01";"Condamine";"011120000";"Condamine (commune non iris<e9>e)";23;416;5.5598821;46.1055567503258
"01113";84;"01";"Condeissiat";"011130000";"Condeissiat (commune non iris<e9>e)";26;828;5.08607655;46.1541717003179
"01114";84;"01";"Confort";"011140000";"Confort (commune non iris<e9>e)";6;563;5.8357982;46.153647500318
"01115";84;"01";"Confran<e7>on";"011150000";"Confran<e7>on (commune non iris<e9>e)";163;1326;5.06002555;46.273195950298
"01116";84;"01";"Contrevoz";"011160000";"Contrevoz (commune non iris<e9>e)";4;508;5.61620855;45.7971215503728
"01117";84;"01";"Conzieu";"011170000";"Conzieu (commune non iris<e9>e)";3;147;5.6020812;45.724471250383
"01118";84;"01";"Corbonod";"011180000";"Corbonod (commune non iris<e9>e)";49;1236;5.79040795;45.9668418003476
"01121";84;"01";"Corlier";"011210000";"Corlier (commune non iris<e9>e)";3;113;5.5002203;46.0367528003367
"01122";84;"01";"Cormaranche-en-Bugey";"011220000";"Cormaranche-en-Bugey (commune non iris<e9>e)";42;805;5.6059727;45.9417669003514
"01123";84;"01";"Cormoranche-sur-Sa<f4>ne";"011230000";"Cormoranche-sur-Sa<f4>ne (commune non iris<e9>e)";89;1089;4.83024505;46.2458347503027
"01124";84;"01";"Cormoz";"011240000";"Cormoz (commune non iris<e9>e)";31;665;5.22092215;46.4374983502694
"01125";84;"01";"Corveissiat";"011250000";"Corveissiat (commune non iris<e9>e)";23;619;5.47696415;46.2513811503017
"01127";84;"01";"Courmangoux";"011270000";"Courmangoux (commune non iris<e9>e)";2;508;5.35824795;46.3243745002893
"01128";84;"01";"Courtes";"011280000";"Courtes (commune non iris<e9>e)";5;291;5.11266665;46.456456950266
"01129";84;"01";"Crans";"011290000";"Crans (commune non iris<e9>e)";1;266;5.19160905;45.9666119003476
"01130";84;"01";"Cras-sur-Reyssouze";"011300000";"Cras-sur-Reyssouze (commune non iris<e9>e)";40;1414;5.18233195;46.3128026502913
"01133";84;"01";"Cressin-Rochefort";"011330000";"Cressin-Rochefort (commune non iris<e9>e)";14;384;5.76490985;45.7833221003747
"01134";84;"01";"Crottet";"011340000";"Crottet (commune non iris<e9>e)";566;1719;4.876038;46.2848042002961
"01135";84;"01";"Crozet";"011350000";"Crozet (commune non iris<e9>e)";240;2086;5.99291355;46.2907717502951
"01136";84;"01";"Cruzilles-l<e8>s-M<e9>pillat";"011360000";"Cruzilles-l<e8>s-M<e9>pillat (commune non iris<e9>e)";16;832;4.8760437;46.2232450003065
"01138";84;"01";"Culoz";"011380000";"Culoz (commune non iris<e9>e)";109;3029;5.78604265;45.8555210003643
"01139";84;"01";"Curciat-Dongalon";"011390000";"Curciat-Dongalon (commune non iris<e9>e)";14;451;5.1665381;46.4882192002603
"01140";84;"01";"Curtafond";"011400000";"Curtafond (commune non iris<e9>e)";14;771;5.1052186;46.2742311002979
"01141";84;"01";"Cuzieu";"011410000";"Cuzieu (commune non iris<e9>e)";1;415;5.6796859;45.8211919503693
"01142";84;"01";"Dagneux";"011420000";"Dagneux (commune non iris<e9>e)";422;4441;5.07482775;45.8540299503645
"01143";84;"01";"Divonne-les-Bains";"011430101";"Centre";771;3706;6.1113693;46.3753952502804
"01143";84;"01";"Divonne-les-Bains";"011430103";"Sud Ouest";393;3180;6.1113693;46.3753952502804
"01143";84;"01";"Divonne-les-Bains";"011430102";"Nord Ouest";337;2215;6.1113693;46.3753952502804
"01145";84;"01";"Dompierre-sur-Veyle";"011450000";"Dompierre-sur-Veyle (commune non iris<e9>e)";13;1166;5.216574;46.0671177503319
