"INSEE_COM";"longitude";"latitude"
"97223";-60.9233213;14.5617201498555
"97233";-61.1361916;14.7046597998724
"97208";-61.12062795;14.7226919998745
"97224";-61.0405554;14.6836039998699
"97212";-61.03029105;14.7083387998728
"97218";-61.1216715;14.7696388998801
"97201";-61.13054965;14.8160714998855
"64223";-0.531515;42.8900691505335
"64026";-1.3022382;43.1446923005395
"64274";-1.28840045;43.1815043005401
"64066";-1.2623665;43.1826119005401
"64275";-1.2384955;43.1849195505402
"64166";-1.22269655;43.1489941505396
"64011";-1.1965465;43.1353169005394
"64008";-1.15693605;43.1410993005395
"64265";-1.07805455;43.1439068505395
"64484";-1.2069556;43.17319440054
"64154";-1.14637095;43.1691411505399
"64155";-1.18593905;43.1893913005402
"64297";-1.15790245;43.1899968505402
"64283";-1.2098862;43.2029204505404
"64528";-1.195761;43.2344544005408
"64013";-1.15773705;43.2134561505405
"64229";-1.1318798;43.1957426505403
"64267";-1.0970169;43.1908886005402
"64314";-1.0995919;43.2248566505407
"64150";-1.06062195;43.2075284505405
"64342";-0.8835547;43.0581371505379
"64298";-0.9607105;43.0733360505382
"64222";-0.9060623;43.0678354005381
"64340";-0.88145035;43.0930678505386
"64162";-0.92535805;43.1195860505391
"64432";-0.9089956;43.1391894005394
"64285";-1.0403993;43.2286567005407
"64268";-0.9248402;43.17355325054
"64378";-0.8829967;43.1656541005399
"64303";-0.84918315;43.0973126505387
"64017";-0.8775479;43.114972300539
"64537";-0.8639833;43.1399661005395
"64509";-0.87384775;43.1595690505398
"64273";-1.244708;43.255791350541
"64259";-1.24720385;43.3094847505415
"64377";-1.29326445;43.3316350005416
"64271";-1.17573;43.2743827005412
"64476";-1.21897155;43.3250603505416
"64046";-1.1651982;43.2964088005414
"64313";-1.1319688;43.2634403505411
"64437";-1.07060485;43.2594853505411
"64120";-1.0920206;43.3058503005415
"64429";-1.0645108;43.2891865005414
"64277";-1.2021258;43.3699122005418
"64489";-1.18353865;43.3431996505417
"64375";-1.15026635;43.3317145505417
"64425";-1.1692145;43.4033974005419
"64019";-1.1270335;43.3624320005418
"64105";-1.1008833;43.3532708005418
"64362";-1.07781715;43.3513499005418
"64235";-1.058484;43.3409410005417
"64051";-1.1168935;43.4154950005419
"64368";-1.08637575;43.3945693005419
"64294";-1.06386;43.3906530005419
"64147";-1.32735865;43.460067400542
"40248";-1.3618805;43.5621979505415
"40044";-1.3085888;43.5432458505416
"40042";-1.27487825;43.5561648005416
"64045";-1.0238435;43.257085000541
"64539";-1.01698865;43.2697403005412
"64319";-1.00809365;43.2863210505413
"64106";-1.0085675;43.3188465005416
"64018";-1.0445365;43.3444915005417
"64034";-0.9912643;43.3399975005417
"64228";-1.028231;43.3768775005419
"64531";-0.89127555;43.3603153005418
"64242";-0.88199955;43.3533060505418
"64071";-0.96263685;43.412364300542
"64513";-0.9307734;43.413517600542
"64096";-0.89821535;43.3827278505419
"64022";-0.889803;43.401944750542
"64115";-0.8607894;43.250787050541
