"DEP","COM","code_iris","REG","LIBCOM","LIBIRIS","num","P14_POP","NOM_COM","lon","lat","Geo.Point"
"75","75103","751030901","11","Paris 3e Arrondissement","Arts et Metiers 1",13015,1847,"Paris 3e Arrondissement","48.8680629847"," 2.35873058012","48.8680629847, 2.35873058012"
"75","75103","751030902","11","Paris 3e Arrondissement","Arts et Metiers 2",2206,1997,"Paris 3e Arrondissement","48.8672338996"," 2.35945225475","48.8672338996, 2.35945225475"
"75","75103","751030903","11","Paris 3e Arrondissement","Arts et Metiers 3",5460,2027,"Paris 3e Arrondissement","48.8659850031"," 2.35852035278","48.8659850031, 2.35852035278"
"75","75103","751030904","11","Paris 3e Arrondissement","Arts et Metiers 4",3383,1892,"Paris 3e Arrondissement","48.86447014"," 2.35729077341","48.86447014, 2.35729077341"
"75","75103","751030905","11","Paris 3e Arrondissement","Arts et Metiers 5",8701,1758,"Paris 3e Arrondissement","48.8664835938"," 2.35427572681","48.8664835938, 2.35427572681"
"75","75103","751031001","11","Paris 3e Arrondissement","Enfants Rouges 1",8841,2380,"Paris 3e Arrondissement","48.8658628892"," 2.36328605299","48.8658628892, 2.36328605299"
"75","75103","751031002","11","Paris 3e Arrondissement","Enfants Rouges 2",3893,2251,"Paris 3e Arrondissement","48.862760605"," 2.36566480745","48.862760605, 2.36566480745"
"75","75103","751031003","11","Paris 3e Arrondissement","Enfants Rouges 3",3731,2576,"Paris 3e Arrondissement","48.8628167657"," 2.36122900543","48.8628167657, 2.36122900543"
"75","75103","751031004","11","Paris 3e Arrondissement","Enfants Rouges 4",10056,2057,"Paris 3e Arrondissement","48.8639457946"," 2.36256467279","48.8639457946, 2.36256467279"
"75","75103","751031101","11","Paris 3e Arrondissement","Les Archives 1",6476,2239,"Paris 3e Arrondissement","48.8596156337"," 2.36596184328","48.8596156337, 2.36596184328"
"75","75103","751031102","11","Paris 3e Arrondissement","Les Archives 2",2989,1716,"Paris 3e Arrondissement","48.8571223224"," 2.36647202509","48.8571223224, 2.36647202509"
"75","75103","751031103","11","Paris 3e Arrondissement","Les Archives 3",9702,1663,"Paris 3e Arrondissement","48.8588000532"," 2.36076889407","48.8588000532, 2.36076889407"
"75","75103","751031104","11","Paris 3e Arrondissement","Les Archives 4",7760,2826,"Paris 3e Arrondissement","48.8604995847"," 2.36197983453","48.8604995847, 2.36197983453"
"75","75103","751031201","11","Paris 3e Arrondissement","Sainte-Avoye 1",3098,1944,"Paris 3e Arrondissement","48.8628077975"," 2.35699205153","48.8628077975, 2.35699205153"
"75","75103","751031202","11","Paris 3e Arrondissement","Sainte-Avoye 2",2291,1865,"Paris 3e Arrondissement","48.8613995509"," 2.35577579882","48.8613995509, 2.35577579882"
